[2026-05-04 20:09:13.815] Schedulers iniciados...
[2026-05-04 20:09:13.828] PreExecutionChecks iniciados...
[2026-05-04 20:09:13.830] WorkerExecutions iniciados...
[2026-05-04 20:09:13.831] PostProcessings iniciados...
[2026-05-04 20:09:13.831] Sistema en ejecucion...
[2026-05-04 20:09:41.098] Jobs en cola: 0 | Jobs validados: 367 | Jobs fallidos: 133
[2026-05-04 20:09:41.129] Estadisticas de nodos:
[2026-05-04 20:09:41.133] Total de nodos: 200
[2026-05-04 20:09:41.133] Nodos libres: 131
[2026-05-04 20:09:41.133] Nodos ocupados: 0
[2026-05-04 20:09:41.133] Nodos fuera de servicio: 69
[2026-05-04 20:09:41.133] Total de asignaciones a nodos: 500
[2026-05-04 20:09:41.133] Nodos sin ejecuciones asignadas: 2
[2026-05-04 20:09:41.133] Mayor cantidad de ejecuciones en un nodo: 6
[2026-05-04 20:09:41.133] Nodos con mayor cantidad de ejecuciones: 190
[2026-05-04 20:09:41.133] Detalle por nodo:
[2026-05-04 20:09:41.133] Nodo 0 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.133] Nodo 1 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.134] Nodo 2 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.134] Nodo 3 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.134] Nodo 4 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.134] Nodo 5 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.134] Nodo 6 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.134] Nodo 7 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.134] Nodo 8 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.134] Nodo 9 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 4
[2026-05-04 20:09:41.134] Nodo 10 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.134] Nodo 11 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.134] Nodo 12 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
[2026-05-04 20:09:41.134] Nodo 13 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 5
[2026-05-04 20:09:41.135] Nodo 14 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
[2026-05-04 20:09:41.135] Nodo 15 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 3
[2026-05-04 20:09:41.135] Nodo 16 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 3
[2026-05-04 20:09:41.135] Nodo 17 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.135] Nodo 18 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.135] Nodo 19 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 4
[2026-05-04 20:09:41.135] Nodo 20 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
